Ad name,Text,By Day,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Reach,"Cost per 1,000 people reached",Video views at 25%,Video views at 50%,Conversions,Repeat Impact
san valentin,Feliz día del amor y la amistad 🌷💕,2025-02-27,0.6215488695032936,0.9843876413703635,0.9193286462743866,0.20822402981425556,0.13116370808678504,0.008440693025321824,0.2061484799781144,0.9175321218028782,0.05098357032343624,0.046819058110713296,0.2058823529411765,0.2066741695789813
señora gorro rosa gorro rosa,No Text,2025-03-03,0.6216165212747018,0.9863416281776568,0.9666270166638339,0.4964218928616267,0.14990138067061146,0.004046373570791378,0.4849912799644359,0.9654107334071358,0.18603109113681573,0.16965023409529054,0.13725490196078433,0.5008363772780224
señora gorro rosa gorro rosa,No Text,2025-02-18,0.6217838703934484,0.9912069731650559,0.9583348264571082,0.39928768245703294,0.232741617357002,0.007810819308609957,0.40564237595321956,0.9585073278498587,0.2567965814484639,0.2103185531993023,0.18137254901960784,0.38338684094484055
san valentin,Feliz día del amor y la amistad 🌷💕,2025-02-28,0.6237208474274524,0.988530406432063,0.9448601954276047,0.30153894949681836,0.1775147928994083,0.007888509071785378,0.29735663235646137,0.9434026035500954,0.06365578722463715,0.05985495272193151,0.1568627450980392,0.30076648172645964
labial y comida,"Beloz, tu mejor aliado financiero. ¡Solicita tu primer crédito de $750.°° con 0% de interés! #Beloz #finanzas",2024-08-13,0.625016912942852,0.994907386632232,0.9648628180574449,0.46780364352405557,0.3984220907297831,0.011412751772648801,0.4589611189002496,0.963739800447084,0.3573638841818316,0.4437712292297805,0.42647058823529416,0.4695502859662633
ugc 2,Puedes confiar en Beloz 💕 #beloz #prestamosconfiables ,2024-09-17,0.6256863094178386,0.9950631176327385,0.9435970211445495,0.29333870765245773,0.4102564102564103,0.018740849194728893,0.26349553739356424,0.9363654912811995,0.08446916672806308,0.09731019921050216,0.44117647058823534,0.32483148064051176
labial y comida,"Beloz, tu mejor aliado financiero. ¡Solicita tu primer crédito de $750.°° con 0% de interés! #Beloz #finanzas",2024-08-11,0.6281502581449172,0.9954560706652259,0.9635392379779194,0.4474120671085061,0.44280078895463515,0.013262051039697291,0.4294224258796977,0.9615216677722932,0.29599204302659693,0.3578444872854126,0.4754901960784314,0.4610078912209344
señora gorro rosa gorro rosa,No Text,2025-03-10,0.6291365497596582,0.9901699862475316,0.9563618642079817,0.37413851206248305,0.20414201183431954,0.007311516521554623,0.3730260233218206,0.9557036602196566,0.14234141309953588,0.13485724777379968,0.1568627450980392,0.3680799784126734
necesitas dinero hoy?,¿Necesitas dinero hoy? Resuelve hoy mismo ,2025-04-17,0.6292647320633791,0.9939098516259659,0.9362578323296488,0.25749155857457195,0.32938856015779094,0.017141390813446046,0.23550935266559517,0.9293983338258631,0.059014219406174025,0.07536950335077572,0.303921568627451,0.27986402616805206
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-11,0.6333380808260638,0.9893557641858025,0.9339408214437293,0.2458354533260207,0.1863905325443787,0.010159651669085334,0.24206818725848922,0.9320960472586727,0.054925219185146985,0.05388781786468373,0.18137254901960784,0.24565298372394542
stunt 1,"¡Atención, CDMX! 🎯 Vamos a esconder $5000 en algún lugar de la ciudad y tú podrías encontrarlos. En los próximos días, daremos pistas para que puedas descubrir la ubicación exacta. ¿Estás listopara el reto? Sigue a Beloz y activa las notificaciones para no perderte nada. #ganadinero #retoCDMX #tesoroescondido #Beloz #prestamos #premio #concurso #dineroextra #ahorrointeligente.",2025-03-10,0.6365390777995371,0.9261408200417344,0.9777797336826923,0.7079498073835213,0.026627218934911247,0.0005040087361512,0.7188797319016517,0.9778655991097386,0.5647977602593385,0.9983475626549158,0.0,0.680178885225186
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-12,0.6371515043617589,0.9906533441486616,0.9411579094307846,0.2727224670767889,0.21005917159763318,0.010321017565111867,0.2700817289607769,0.9398621165849147,0.0659765711338687,0.06068117139447351,0.17647058823529413,0.27059529685864914
san valentin,Feliz día del amor y la amistad 🌷💕,2025-02-20,0.6396439380452199,0.9887019279072103,0.9165544768558314,0.19173764512313574,0.1725838264299803,0.012061063441193514,0.18582224805936462,0.912841330397238,0.06512930081780005,0.05792710915266684,0.2058823529411765,0.1953197622761466
stunt 1,"¡Atención, CDMX! 🎯 Vamos a esconder $5000 en algún lugar de la ciudad y tú podrías encontrarlos. En los próximos días, daremos pistas para que puedas descubrir la ubicación exacta. ¿Estás listopara el reto? Sigue a Beloz y activa las notificaciones para no perderte nada. #ganadinero #retoCDMX #tesoroescondido #Beloz #prestamos #premio #concurso #dineroextra #ahorrointeligente.",2025-03-11,0.6419690226099342,0.859685305707811,0.9650581884775924,0.44909704830940217,0.013806706114398423,0.00041196462989391113,0.43355332900181237,0.9633415910322857,0.35865320857584915,0.6256311392637472,0.0,0.4595994497864303
stunt 1,"¡Atención, CDMX! 🎯 Vamos a esconder $5000 en algún lugar de la ciudad y tú podrías encontrarlos. En los próximos días, daremos pistas para que puedas descubrir la ubicación exacta. ¿Estás listopara el reto? Sigue a Beloz y activa las notificaciones para no perderte nada. #ganadinero #retoCDMX #tesoroescondido #Beloz #prestamos #premio #concurso #dineroextra #ahorrointeligente.",2025-03-12,0.6432081182125691,0.906780607061923,0.9631375623985462,0.42471437916702454,0.020710059171597635,0.0006534219083031112,0.41160619635468315,0.9614809606753932,0.29540263758933183,0.5099605251078674,0.0,0.4326554386242028
ugc 2,Puedes confiar en Beloz 💕 #beloz #prestamosconfiables ,2024-09-16,0.6467046466085099,0.9958313482410612,0.9529452777010254,0.33096334670305344,0.4585798816568048,0.018566950827526893,0.28966932257292344,0.9454783424548564,0.09231562661165552,0.10649040668319103,0.5392156862745099,0.37603201242587586
san valentin,Feliz día del amor y la amistad 🌷💕,2025-02-24,0.6504860245682749,0.9864952393111501,0.9500939855201038,0.309005728936083,0.14003944773175545,0.006072787922849823,0.31127449304106963,0.9498688947709961,0.06328740882634643,0.05333700541632241,0.17647058823529413,0.30001421604438566
stunt 1,"¡Atención, CDMX! 🎯 Vamos a esconder $5000 en algún lugar de la ciudad y tú podrías encontrarlos. En los próximos días, daremos pistas para que puedas descubrir la ubicación exacta. ¿Estás listopara el reto? Sigue a Beloz y activa las notificaciones para no perderte nada. #ganadinero #retoCDMX #tesoroescondido #Beloz #prestamos #premio #concurso #dineroextra #ahorrointeligente.",2025-03-13,0.654050204735624,0.7890977051913209,0.9619947664661316,0.39967754085253443,0.008875739644970416,0.0002975796852268218,0.4012242246007592,0.9616892984231331,0.2959183673469388,0.5112457541540438,0.0,0.3897837976583016
necesitas dinero hoy?,¿Necesitas dinero hoy? Resuelve hoy mismo ,2025-04-18,0.6549759658180523,0.9943992859828001,0.9330833493365092,0.22839754983910077,0.33333333333333337,0.01955622414441516,0.20913722942242588,0.9259714415211042,0.05555146246224122,0.07243183695951529,0.3774509803921569,0.2479442678408066
gimnasio,¡Beloz es tu mejor aliado financiero! Tu primer préstamo de 750 pesos SIN INTERESES🥳,2025-02-16,0.6568132455047178,0.9943284311740986,0.959232764659774,0.37013420379682427,0.32741617357001973,0.011853544459717336,0.3511541223540676,0.9564699019708128,0.4811021881676859,0.48499036078215363,0.3137254901960784,0.3865079208376936
conoce beloz,No Text,2025-04-01,0.6590528752002849,0.9931477186302536,0.9349744298824264,0.23218380171405537,0.2692307692307693,0.015537848605577513,0.20497213008241286,0.9253531669292918,0.027665217711633393,0.036996236114936194,0.29411764705882354,0.2616023324843196
necesitas dinero hoy?,¿Necesitas dinero hoy? Resuelve hoy mismo ,2025-04-19,0.659679544240698,0.9935165468469173,0.9179790074940806,0.18419157245088774,0.2840236686390533,0.02066219464074298,0.1688609239818076,0.9093886278414283,0.04593678626685332,0.06022216102083906,0.3235294117647059,0.1997025161082262
ad name2025-06-11 14:05:27,Pediste un préstamos pero estás en buró?  #finanzaspersonales #burodecredito #buro #prestamos #finanzas #ahorrointeligente #ConBelozTodoMejor ,2025-06-14,0.6672423001602279,0.995557809226501,0.9394945960437509,0.24331789317879962,0.4053254437869823,0.0223217922606924,0.23344390110453783,0.9361454281113076,0.034111839681721066,0.04498301661617552,0.45588235294117646,0.25082512290955045
ad name2025-06-11 14:05:27,Pediste un préstamos pero estás en buró?  #finanzaspersonales #burodecredito #buro #prestamos #finanzas #ahorrointeligente #ConBelozTodoMejor ,2025-06-16,0.6682072280576821,0.9967375516159002,0.9657899977164417,0.42488618117182175,0.5502958579881657,0.0173553333437008,0.43427828882125635,0.9661445452373553,0.05960362484343919,0.08051041953548149,0.5931372549019608,0.4046757623024726
botana,¿Qué harías tu con $750 MX? 💵 📲 ¡Descarga ya Beloz en tu celular y recibe tu primer préstamos a 0% de interés!,2024-12-20,0.6683425316004985,0.992256579417716,0.9426813044998621,0.25581318514309126,0.2317554240631164,0.012139683851637379,0.2539547925999384,0.9415634338480205,0.15236130553304356,0.1437620490223079,0.2058823529411765,0.25304401050407727
ad name2025-06-11 14:05:27,Pediste un préstamos pero estás en buró?  #finanzaspersonales #burodecredito #buro #prestamos #finanzas #ahorrointeligente #ConBelozTodoMejor ,2025-06-13,0.6763788499198861,0.9960277148289964,0.9182123070363643,0.17564772659693265,0.44082840236686394,0.03362925067709885,0.17424340867900012,0.9165589625535009,0.02924924482428351,0.03571100706875975,0.42156862745098045,0.17390684542026177
labial y comida,"Beloz, tu mejor aliado financiero. ¡Solicita tu primer crédito de $750.°° con 0% de interés! #Beloz #finanzas",2024-07-13,0.6792059818408402,0.9947459700792747,0.9640114090338034,0.39093546191612094,0.33037475345167655,0.011324262655286002,0.3821906097185651,0.9627271033191827,0.2997126648493333,0.3924538694574497,0.303921568627451,0.39409060095695037
vocho,"Beloz, tu mejor aliado financiero💛  #FinanzasPersonales #EducaciónFinanciera #AhorroInteligente #ControlDeGastos #SaludFinanciera #InversiónSegura #PlaneaciónFinanciera #LibertadEconómica #GestiónDelDinero #ÉxitoFinanciero",2025-03-12,0.6810468221470536,0.9893939393939394,0.9560444105268925,0.3194856512287147,0.1627218934911243,0.006824950363997113,0.3147214718052183,0.9548310644709805,0.16705960362484346,0.11163132286789682,0.09803921568627452,0.31908372328732865
botana,¿Qué harías tu con $750 MX? 💵 📲 ¡Descarga ya Beloz en tu celular y recibe tu primer préstamos a 0% de interés!,2024-11-12,0.6827844044863807,0.9956919145653723,0.9606418165938806,0.3541301862730198,0.3984220907297831,0.015076033212053336,0.33745511746400847,0.9581612336049682,0.1595446842997127,0.14605710089048013,0.43137254901960786,0.36793900263918233
necesitas dinero hoy?,¿Necesitas dinero hoy? Resuelve hoy mismo ,2025-04-24,0.6840128182303721,0.9917046571546188,0.92797994570152,0.19451290827755272,0.20611439842209076,0.014198851863174536,0.1751872242929932,0.918989189541625,0.0446106240330067,0.059395942348297065,0.26960784313725494,0.21481614574078092
